2023-05-16 21:25:56,641   |   INFO   |   Got user with id: 1!
2023-05-16 21:25:56,647   |   INFO   |   Got user with id: 1!
2023-05-16 21:25:56,728   |   ERROR   |   
2023-05-16 21:35:15,726   |   INFO   |   Got user with id: 1!
2023-05-16 21:35:15,810   |   ERROR   |   
2023-05-16 21:35:18,861   |   INFO   |   Got user with id: 1!
2023-05-16 21:35:18,948   |   ERROR   |   
2023-05-16 21:35:20,219   |   INFO   |   Got user with id: 1!
2023-05-16 21:35:20,298   |   ERROR   |   
2023-05-16 21:36:41,677   |   INFO   |   Scanning directories...
2023-05-16 21:36:41,677   |   INFO   |   Scanned directories successfully!
2023-05-16 21:36:41,677   |   INFO   |   Registering login manager...
2023-05-16 21:36:41,692   |   INFO   |   Registering routes...
2023-05-16 21:36:41,802   |   INFO   |   Updated formulas database info!
2023-05-16 21:37:09,562   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:09,667   |   ERROR   |   
2023-05-16 21:37:11,117   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:11,125   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:11,204   |   ERROR   |   
2023-05-16 21:37:13,026   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:13,106   |   ERROR   |   
2023-05-16 21:37:13,557   |   INFO   |   Load main Page
2023-05-16 21:37:13,558   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:13,652   |   ERROR   |   
2023-05-16 21:37:13,755   |   INFO   |   Load main Page
2023-05-16 21:37:13,756   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:13,851   |   ERROR   |   
2023-05-16 21:37:13,908   |   INFO   |   Load main Page
2023-05-16 21:37:13,909   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:13,993   |   ERROR   |   
2023-05-16 21:37:15,545   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:15,628   |   ERROR   |   
2023-05-16 21:37:16,632   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:16,700   |   ERROR   |   
2023-05-16 21:37:59,542   |   INFO   |   Got user with id: 1!
2023-05-16 21:37:59,613   |   ERROR   |   
2023-05-16 21:38:00,103   |   INFO   |   Got user with id: 1!
2023-05-16 21:38:00,167   |   ERROR   |   
2023-05-16 21:38:00,293   |   INFO   |   Got user with id: 1!
2023-05-16 21:38:00,369   |   ERROR   |   
2023-05-16 21:38:00,462   |   INFO   |   Got user with id: 1!
2023-05-16 21:38:00,527   |   ERROR   |   
